gridSize,budgetPlayer1,budgetPlayer2,winner,duration,movesCount,algorithmPlayer1,algorithmPlayer2,nodeCountPlayer1,nodeCountPlayer2,ravePlayerOne,ravePlayerTwo,seedPlayerOne,seedPlayerTwo
7,10,10,1,124273643,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,120215752,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,130389032,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,117198874,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,121019808,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,127680211,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,125532799,49,MCTS,MCTS,6014,5791,false,false,1743067480181,1743067480182
7,10,10,1,124094426,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,127696354,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,130027914,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,122784015,49,MCTS,MCTS,6014,5791,false,false,1743067480181,1743067480182
7,10,10,1,127210356,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,121986908,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,118262978,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,120335107,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,125643813,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,125028022,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,126674443,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,130316953,49,MCTS,MCTS,6014,5791,false,false,1743067480181,1743067480182
7,10,10,1,126429384,45,MCTS,MCTS,5946,5707,false,false,1743067480182,1743067480182
7,10,10,1,64419118,43,MCTS,MCTS,5910,5698,false,false,1743067480339,1743067480339
7,10,10,1,66917564,47,MCTS,MCTS,5978,5783,false,false,1743067480342,1743067480342
7,10,10,1,73975466,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,2,79079032,40,MCTS,MCTS,5840,5620,false,false,1743067480341,1743067480341
7,10,10,1,90018963,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,56764697,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,68860461,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,63391006,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,78939210,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,81903277,47,MCTS,MCTS,5978,5783,false,false,1743067480342,1743067480342
7,10,10,1,86729111,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,93128955,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,2,90098538,40,MCTS,MCTS,5840,5620,false,false,1743067480341,1743067480341
7,10,10,1,94374473,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,94674612,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,2,72220788,30,MCTS,MCTS,5130,4961,false,false,1743067480360,1743067480360
7,10,10,2,93731463,40,MCTS,MCTS,5840,5620,false,false,1743067480341,1743067480341
7,10,10,1,63976564,49,MCTS,MCTS,6006,5789,false,false,1743067480395,1743067480395
7,10,10,1,123366322,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,1,126815813,45,MCTS,MCTS,5962,5760,false,false,1743067480338,1743067480338
7,10,10,2,46735729,20,MCTS,MCTS,3920,3760,false,false,1743067480435,1743067480435
7,10,10,2,74292187,42,MCTS,MCTS,5868,5704,false,false,1743067480408,1743067480408
7,10,10,1,63688200,41,MCTS,MCTS,5892,5631,false,false,1743067480421,1743067480421
7,10,10,1,74741580,45,MCTS,MCTS,5942,5760,false,false,1743067480412,1743067480412
7,10,10,2,61879741,38,MCTS,MCTS,5738,5537,false,false,1743067480428,1743067480428
7,10,10,1,153442943,45,MCTS,MCTS,5920,5760,false,false,1743067480348,1743067480348
7,10,10,1,86629256,47,MCTS,MCTS,6009,5779,false,false,1743067480415,1743067480415
7,10,10,1,81969283,45,MCTS,MCTS,5962,5749,false,false,1743067480431,1743067480431
7,10,10,1,109624216,45,MCTS,MCTS,5946,5760,false,false,1743067480403,1743067480403
7,10,10,1,81118849,47,MCTS,MCTS,5987,5785,false,false,1743067480433,1743067480433
7,10,10,1,60006202,47,MCTS,MCTS,5974,5787,false,false,1743067480461,1743067480461
7,10,10,2,93913509,44,MCTS,MCTS,5950,5743,false,false,1743067480432,1743067480432
7,10,10,2,111142670,46,MCTS,MCTS,5969,5776,false,false,1743067480417,1743067480417
7,10,10,1,102813641,45,MCTS,MCTS,5962,5749,false,false,1743067480431,1743067480431
7,10,10,1,122226960,45,MCTS,MCTS,5954,5760,false,false,1743067480414,1743067480414
7,10,10,1,53781103,43,MCTS,MCTS,5922,5711,false,false,1743067480483,1743067480483
